ID,Severity,Start_Time,City,County,State,Start_Lat,Start_Lng,Weather_Condition,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Crossing,Junction,Station,Stop,Traffic_Signal,Sunrise_Sunset
A-1,3,2022-02-05 10:35:49,Houston,Harris,TX,29.782826263929604,-95.4164694057816,Clear,54.8,67.1,6.2,10.9,False,False,False,False,True,Day
A-2,3,2022-05-08 12:13:26,Chicago,Cook,IL,41.79514151562334,-87.59985007994375,Clear,71.2,28.4,8.6,0.0,False,True,False,False,True,Day
A-3,2,2022-04-22 17:18:30,Orlando,Orange,FL,28.50063742076705,-81.41964486356053,Fair,84.1,62.0,6.0,5.6,False,False,False,False,False,Day
A-4,2,2022-08-16 08:37:16,Dallas,Dallas,TX,32.701856403837965,-96.81739659062723,Clear,88.3,31.2,8.7,4.9,False,True,False,False,False,Day
A-5,2,2022-11-18 17:03:47,Los Angeles,Los Angeles,CA,33.972050321864465,-118.30489576024193,Fog,58.6,43.1,6.7,14.2,False,False,False,False,False,Day
A-6,2,2022-10-27 05:03:16,Los Angeles,Los Angeles,CA,34.05710197989767,-118.2904600182962,Clear,54.9,62.1,8.8,3.2,False,True,False,False,False,Night
A-7,2,2022-08-13 16:30:10,Los Angeles,Los Angeles,CA,34.08053887344077,-118.19891386339133,Overcast,62.7,70.8,9.3,9.7,False,False,False,False,False,Day
A-8,2,2022-12-31 17:37:52,Seattle,King,WA,47.5788620925994,-122.27970680988268,Clear,60.2,10.0,8.8,4.3,True,False,False,False,True,Day
A-9,2,2022-01-01 07:45:29,Dallas,Dallas,TX,32.704842310509434,-96.74242621255941,Clear,60.8,94.3,8.4,11.3,False,False,False,False,False,Day
A-10,2,2022-12-24 11:25:26,Orlando,Orange,FL,28.474494716314688,-81.32445370890171,Fog,71.2,46.8,8.2,5.3,False,False,False,False,False,Day
A-11,2,2022-08-29 07:38:07,Los Angeles,Los Angeles,CA,34.07078148190165,-118.26140158841184,Overcast,56.9,55.5,10.0,2.1,False,False,False,False,False,Day
A-12,3,2022-05-27 16:07:54,Chicago,Cook,IL,41.883634528527345,-87.59653035149721,Cloudy,88.4,90.7,9.6,6.9,False,True,False,False,False,Day
A-13,2,2022-12-20 13:58:15,Seattle,King,WA,47.62560373366432,-122.27945562469607,Cloudy,58.9,94.2,6.0,10.4,False,False,False,False,False,Day
A-14,2,2022-12-23 15:12:22,Miami,Miami-Dade,FL,25.83962026113031,-80.23542945074618,Thunderstorm,56.0,47.6,9.3,9.1,False,False,False,False,False,Day
A-15,2,2022-06-29 07:21:31,Los Angeles,Los Angeles,CA,34.08096747735906,-118.23401138518588,Fair,47.5,81.3,10.0,1.0,False,False,False,False,False,Day
A-16,3,2022-04-27 07:26:01,Los Angeles,Los Angeles,CA,34.07265146990063,-118.25007947526998,Clear,83.9,63.2,8.1,0.6,False,True,False,False,False,Day
A-17,2,2022-10-09 04:19:29,Miami,Miami-Dade,FL,25.88013582325974,-80.28536750146276,Clear,45.6,100.0,8.2,4.4,False,False,False,False,False,Night
